date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params
2023-10-11,872.19125,0.4386522263771037,-1276.0,0.0,875.0,0.0,2.80875,2.80875,-1312.8087499999674,1003414.48996,440150.0,563264.48996,3414.4899600000354,0.0034144899599999334,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-12,-2565.93489,0.44168297693838776,897.0,2559.0,0.0,6.934889999999999,0.0,6.934889999999999,851.0651099999668,1004265.55507,443567.0,560698.55507,4265.555070000002,0.004265555069999927,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-13,4364.94341,0.4401512122029653,5379.0,0.0,4379.0,0.0,14.056589999999998,14.056589999999998,5048.943409999949,1009314.49848,444251.0,565063.49848,9314.498479999951,0.009314498479999989,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-16,4622.11523,0.43919562848850685,6864.0,0.0,4637.0,0.0,14.88477,14.88477,6522.115229999996,1015836.61371,446151.0,569685.61371,15836.613709999947,0.01583661370999989,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-17,1689.2741999999998,0.4390684723961142,2820.0,890.0,2590.0,2.4118999999999997,8.313899999999999,10.725799999999998,2781.2742000001017,1018617.88791,447243.0,571374.88791,18617.88791000005,0.018617887910000075,3,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-18,-886.39564,0.4347880396170664,-9256.0,884.0,0.0,2.3956399999999998,0.0,2.3956399999999998,-9282.395640000002,1009335.49227,438847.0,570488.49227,9335.492270000046,0.009335492269999968,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-19,0.0,0.4312045230702922,-6359.0,0.0,0.0,0.0,0.0,0.0,-6359.0,1002976.49227,432488.0,570488.49227,2976.492270000046,0.002976492269999964,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-20,-847.2899499999999,0.42772875481906675,-7549.0,844.9999999999999,0.0,2.2899499999999993,0.0,2.2899499999999993,-7572.289950000006,995404.20232,425763.0,569641.20232,-4595.79767999996,-0.004595797679999958,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-23,-1640.43356,0.42945045448631347,201.0,1636.0,0.0,4.43356,0.0,4.43356,128.56643999996595,995532.76876,427532.0,568000.76876,-4467.231239999994,-0.004467231240000036,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-24,-1764.3914100000002,0.4341220369346697,5184.0,2538.0,783.0,6.877979999999999,2.5134299999999996,9.391409999999999,5100.60858999996,1000633.37735,434397.0,566236.37735,633.3773499999661,0.0006333773500000195,3,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-25,0.0,0.4332327756303778,-1570.0,0.0,0.0,0.0,0.0,0.0,-1570.0,999063.37735,432827.0,566236.37735,-936.6226500000339,-0.0009366226500000518,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-26,0.0,0.43072562010016185,-4400.0,0.0,0.0,0.0,0.0,0.0,-4400.0,994663.37735,428427.0,566236.37735,-5336.622650000034,-0.005336622650000011,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-27,157008.84296,0.27449135254675594,9579.0,193555.0,352219.0,524.53405,1130.6229899999998,1655.1570399999998,2216.8429600001546,996880.2203100001,273635.0,723245.2203100001,-3119.7796899998793,-0.0031197796899998798,2,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-30,-6607.850560000001,0.28865812220695075,11300.0,22416.0,15920.0,60.74735999999999,51.103199999999994,111.85055999999999,10564.14943999995,1007444.3697500001,290807.0,716637.3697500001,7444.369750000071,0.007444369750000179,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-10-31,-1417.83194,0.28858548959747055,-2042.0,1414.0,0.0,3.8319399999999995,0.0,3.8319399999999995,-2095.8319399999455,1005348.5378100001,290129.0,715219.5378100001,5348.537810000125,0.00534853781000022,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-01,-1366.69373,0.2877723483704831,-3053.0,1363.0,0.0,3.6937299999999995,0.0,3.6937299999999995,-3066.6937300000573,1002281.8440800001,288429.0,713852.8440800001,2281.844080000068,0.002281844080000095,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-02,-2575.96199,0.28344200096777883,-9461.0,2569.0,0.0,6.961989999999999,0.0,6.961989999999999,-9651.961989999982,992629.8820900001,281353.0,711276.8820900001,-7370.1179099999135,-0.007370117909999863,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-03,2707.28164,0.2853313006687468,6545.0,0.0,2716.0,0.0,8.718359999999999,8.718359999999999,6412.281639999943,999042.16373,285058.0,713984.16373,-957.8362699999707,-0.000957836270000012,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-06,2874.74236,0.28545472440941544,4337.0,0.0,2884.0,0.0,9.257639999999999,9.257639999999999,4195.742360000033,1003237.9060900001,286379.0,716858.9060900001,3237.9060900000622,0.0032379060900000756,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-07,-15813.73941,0.3005629556670879,-796.0,15771.0,0.0,42.73940999999999,0.0,42.73940999999999,-938.7394100000383,1002299.16668,301254.0,701045.16668,2299.166680000024,0.0022991666800000754,4,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-08,0.0,0.307386137315339,9874.0,0.0,0.0,0.0,0.0,0.0,9874.0,1012173.16668,311128.0,701045.16668,12173.166680000024,0.012173166680000014,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-09,0.0,0.3028915210944211,-6526.0,0.0,0.0,0.0,0.0,0.0,-6526.0,1005647.16668,304602.0,701045.16668,5647.166680000024,0.005647166679999982,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-11-10,0.0,0.3096355763876488,9824.0,0.0,0.0,0.0,0.0,0.0,9824.0,1015471.16668,314426.0,701045.16668,15471.166680000024,0.015471166680000037,5,0,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
