factor,date,group,mean_forward_return,sample_count
low_turnover_rate,2024-05-29,2,0.00193724803627524,24
low_turnover_rate,2024-05-29,3,-0.026731314670020937,24
low_turnover_rate,2024-05-29,4,-0.04560089106563131,24
low_turnover_rate,2024-05-29,5,-0.03426286826374688,24
low_turnover_rate,2024-05-30,1,-0.0060599288605747426,24
low_turnover_rate,2024-05-30,2,-0.0009183403498340589,24
low_turnover_rate,2024-05-30,3,-0.0677892199210998,24
low_turnover_rate,2024-05-30,4,-0.043332918209925304,24
low_turnover_rate,2024-05-30,5,-0.01831524676652783,24
low_turnover_rate,2024-05-31,1,0.01770937694815025,24
low_turnover_rate,2024-05-31,2,-0.029602284677829115,24
low_turnover_rate,2024-05-31,3,-0.027473967482392916,24
low_turnover_rate,2024-05-31,4,-0.048203000473879674,24
low_turnover_rate,2024-05-31,5,-0.005171146012438783,24
low_turnover_rate,2024-06-03,1,-0.005884805326785934,24
low_turnover_rate,2024-06-03,2,-0.010956891407942019,24
low_turnover_rate,2024-06-03,3,-0.08006916708797093,24
low_turnover_rate,2024-06-03,4,-0.04947194212168345,24
low_turnover_rate,2024-06-03,5,-0.008760297813766263,24
low_turnover_rate,2024-06-04,1,-0.026089670682780144,24
low_turnover_rate,2024-06-04,2,-0.05028766218335389,24
low_turnover_rate,2024-06-04,3,-0.05621285599633254,24
low_turnover_rate,2024-06-04,4,-0.03369065876595726,24
low_turnover_rate,2024-06-04,5,-0.024649517214791184,24
low_turnover_rate,2024-06-05,1,-0.01178020407958374,24
low_turnover_rate,2024-06-05,2,-0.05511536956236666,24
low_turnover_rate,2024-06-05,3,-0.0839046109636619,24
low_turnover_rate,2024-06-05,4,-0.03673527641873859,24
low_turnover_rate,2024-06-05,5,-0.0164527292062509,24
low_turnover_rate,2024-06-06,1,-0.016741703569894285,24
low_turnover_rate,2024-06-06,2,-0.06902255771917198,24
low_turnover_rate,2024-06-06,3,-0.04069836995942968,24
low_turnover_rate,2024-06-06,4,-0.04818654415975678,24
low_turnover_rate,2024-06-06,5,-0.033127080292541904,24
low_turnover_rate,2024-06-07,1,-0.021259510565890153,24
low_turnover_rate,2024-06-07,2,-0.07383141951022469,24
low_turnover_rate,2024-06-07,3,-0.06232190841670027,24
low_turnover_rate,2024-06-07,4,-0.0546784394410725,24
low_turnover_rate,2024-06-07,5,-0.0297093675677489,24
low_turnover_rate,2024-06-11,1,0.010922583363281843,24
low_turnover_rate,2024-06-11,2,-0.03810130058732709,24
low_turnover_rate,2024-06-11,3,-0.03141846349445826,24
low_turnover_rate,2024-06-11,4,-0.07859868388969711,24
low_turnover_rate,2024-06-11,5,-0.0033791143832695527,24
low_turnover_rate,2024-06-12,1,0.016311021327762135,24
low_turnover_rate,2024-06-12,2,-0.030820478479148317,24
low_turnover_rate,2024-06-12,3,-0.061191216523209246,24
low_turnover_rate,2024-06-12,4,-0.05021637581363869,24
low_turnover_rate,2024-06-12,5,-0.017597674988887774,24
low_turnover_rate,2024-06-13,1,0.027526891276836964,24
low_turnover_rate,2024-06-13,2,-0.01108560943299175,24
low_turnover_rate,2024-06-13,3,-0.04147850333133059,24
low_turnover_rate,2024-06-13,4,-0.04342556141882949,24
low_turnover_rate,2024-06-13,5,0.002550633052334985,24
low_turnover_rate,2024-06-14,1,-0.036348999355560685,24
low_turnover_rate,2024-06-14,2,0.0029766990858749267,24
low_turnover_rate,2024-06-14,3,-0.048446072061082646,24
low_turnover_rate,2024-06-14,4,-0.04438155722127055,24
low_turnover_rate,2024-06-14,5,0.007981853134921646,24
low_turnover_rate,2024-07-15,1,-0.08475734806672756,24
low_turnover_rate,2024-07-15,2,-0.06565582124656462,24
low_turnover_rate,2024-07-15,3,-0.051666703356014664,24
low_turnover_rate,2024-07-15,4,-0.030205661437467765,24
low_turnover_rate,2024-07-15,5,-0.03151703957285142,24
low_turnover_rate,2024-07-16,1,-0.11421848615131476,24
low_turnover_rate,2024-07-16,2,-0.07933704710974221,24
low_turnover_rate,2024-07-16,3,-0.05700083761253257,24
low_turnover_rate,2024-07-16,4,-0.024180826826449748,24
low_turnover_rate,2024-07-16,5,-0.03687682387819135,24
