date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params
2023-07-26,0.0,0.1905809871600822,-7106.0,0.0,0.0,0.0,0.0,0.0,-7106.0,1152612.3527500005,219666.0,932946.3527500007,152612.35275000054,0.1526123527500005,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-27,-2060.5725,0.19059940533871536,-2517.0,2058.0,0.0,2.5725000000000002,0.0,2.5725000000000002,-2519.5724999997765,1150092.7802500008,219207.0,930885.7802500007,150092.78025000077,0.15009278025000072,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-28,2960.8095,0.18963559540568067,2291.0,0.0,2966.0,0.0,5.1905,5.1905,2285.809499999974,1152378.5897500007,218532.0,933846.5897500006,152378.58975000074,0.15237858975000074,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-31,0.0,0.18889725577818614,-1049.0,0.0,0.0,0.0,0.0,0.0,-1049.0,1151329.5897500007,217483.0,933846.5897500006,151329.58975000074,0.15132958975000066,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-01,0.0,0.19413701540599235,7486.0,0.0,0.0,0.0,0.0,0.0,7486.0,1158815.5897500007,224969.0,933846.5897500006,158815.58975000074,0.15881558975000076,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-02,-1436.79375,0.1932864913532242,-3001.0,1435.0,0.0,1.79375,0.0,1.79375,-3002.7937500001863,1155812.7960000006,223403.0,932409.7960000007,155812.79600000056,0.15581279600000064,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-03,0.0,0.19169409459747697,-2277.0,0.0,0.0,0.0,0.0,0.0,-2277.0,1153535.7960000006,221126.0,932409.7960000007,153535.79600000056,0.15353579600000056,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-04,805.3477499999999,0.19968935831647144,12536.0,1411.0,2222.0,1.76375,3.8885,5.65225,12530.34775000019,1166066.1437500007,232851.0,933215.1437500006,166066.14375000075,0.16606614375000084,3,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-07,2338.89975,0.20083336715785463,4600.0,0.0,2343.0,0.0,4.10025,4.10025,4595.899749999866,1170662.0435000006,235108.0,935554.0435000006,170662.0435000006,0.17066204350000058,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-08,-210670.45349999997,0.377623975555875,-5006.0,439820.0,230102.0,549.7750000000001,402.6785,952.4535000000001,-5958.453500000294,1164703.5900000003,439820.0,724883.5900000004,164703.59000000032,0.16470359000000023,0,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-09,-1639.04625,0.38085139108338045,3426.0,1637.0,0.0,2.04625,0.0,2.04625,3423.9537500001024,1168127.5437500004,444883.0,723244.5437500004,168127.54375000042,0.1681275437500005,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-10,-4954.185,0.3895667081471343,8568.0,4948.0,0.0,6.1850000000000005,0.0,6.1850000000000005,8561.814999999944,1176689.3587500004,458399.0,718290.3587500004,176689.35875000036,0.17668935875000047,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-11,3749.9310000000005,0.37828268345892613,-15307.0,3825.0,7593.000000000001,4.78125,13.287750000000003,18.069000000000003,-15325.068999999901,1161364.2897500005,439324.0,722040.2897500003,161364.28975000046,0.1613642897500005,2,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-14,-2200.7475,0.3789290816068496,-2332.0,2198.0,0.0,2.7475,0.0,2.7475,-2334.747500000056,1159029.5422500004,439190.0,719839.5422500003,159029.5422500004,0.15902954225000032,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
