date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params,strategy_daily_return,fold_start_asset,fold_end_asset,strategy_asset,strategy_profit_rate_continuous,benchmark_daily_return,benchmark_asset,benchmark_profit_rate_continuous,excess_asset,excess_profit_rate
2024-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0,1000000.0,1257824.4648300582,1262276.3199061933,0.26227631990619327,0.019080719392257084,810356.7841354745,-0.18964321586452548,451919.5357707188,0.45191953577071875
2024-10-15,-138211.03451522178,0.1378374949040318,-6046.423283586129,137837.49490403183,0.0,373.5396111899263,0.0,373.5396111899263,-6419.962894776056,993580.037105224,136952.5833012391,856627.4538039849,-6419.962894776021,-0.0064199628947759,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.006419962894775977,1000000.0,1257824.4648300582,1254172.5527694412,0.2541725527694412,-0.02659453619229868,788805.7213111088,-0.21119427868889118,465366.83145833237,0.46536683145833235
2024-10-16,0.0,0.1378374949040318,-4262.190937066142,0.0,0.0,0.0,0.0,0.0,-4262.190937066142,989317.8461681578,136365.09357967123,852952.7525884865,-10682.15383184224,-0.0106821538318422,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.004289730849951434,1000000.0,1257824.4648300582,1248792.4900786637,0.24879249007866377,-0.006327817240189826,783814.3028686361,-0.21618569713136393,464978.1872100276,0.4649781872100277
2024-10-17,0.0,0.1378374949040318,1831.360459348003,0.0,0.0,0.0,0.0,0.0,1831.360459348003,991149.2066275058,136617.52371765405,854531.6829098518,-8850.793372494169,-0.0088507933724941,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0018511345635190413,1000000.0,1257824.4648300582,1251104.1730197114,0.25110417301971144,-0.011319060755456745,774942.26115347,-0.22505773884653002,476161.91186624137,0.47616191186624146
2024-10-18,0.0,0.1378374949040318,22304.36547295281,0.0,0.0,0.0,0.0,0.0,22304.36547295281,1013453.5721004588,139691.90157986985,873761.6705205888,13453.572100458669,0.0134535721004587,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.02250353965256746,1000000.0,1257824.4648300582,1279258.445386753,0.27925844538675304,0.03616738204222569,802969.8939732738,-0.19703010602672621,476288.55141347914,0.47628855141347926
2024-10-21,0.0,0.1378374949040318,3874.2811102928745,0.0,0.0,0.0,0.0,0.0,3874.2811102928745,1017327.8532107514,140225.9227826666,877101.9304280848,17327.853210751433,0.0173278532107514,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.003822850120566379,1000000.0,1257824.4648300582,1284148.8586889354,0.28414885868893536,0.002539978549027655,805009.4202794809,-0.19499057972051914,479139.43840945454,0.4791394384094545
2024-10-22,0.0,0.1378374949040318,-1373.312591627257,0.0,0.0,0.0,0.0,0.0,-1373.312591627257,1015954.5406191242,140036.62881531657,875917.9118038076,15954.540619124193,0.0159545406191241,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0013499213525836051,1000000.0,1257824.4648300582,1282415.3587246954,0.28241535872469536,0.00573795486887585,809628.5280020644,-0.19037147199793558,472786.83072263096,0.47278683072263095
2024-10-23,0.0,0.1378374949040318,-1641.762294621703,0.0,0.0,0.0,0.0,0.0,-1641.762294621703,1014312.7783245024,139810.33241339802,874502.4459111046,14312.77832450252,0.0143127783245025,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.00161598007487751,1000000.0,1257824.4648300582,1280343.0010572793,0.2803430010572794,0.00389865025342484,812784.9864679396,-0.18721501353206038,467558.0145893397,0.46755801458933977
2024-10-24,0.0,0.1378374949040318,-1055.18932464071,0.0,0.0,0.0,0.0,0.0,-1055.18932464071,1013257.588999862,139664.88776024006,873592.7012396217,13257.588999861851,0.0132575889998618,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0010402997449991958,1000000.0,1257824.4648300582,1279011.060559768,0.279011060559768,-0.011169809801143238,803706.3327598679,-0.19629366724013209,475304.7277999001,0.4753047277999001
2024-10-25,0.0,0.1378374949040318,-1120.013016535445,0.0,0.0,0.0,0.0,0.0,-1120.013016535445,1012137.5759833264,139510.5079717809,872627.0680115456,12137.575983326416,0.0121375759833264,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.001105358626172337,1000000.0,1257824.4648300582,1277597.2946510084,0.27759729465100835,0.0070224468862232214,809350.3177937953,-0.1906496822062047,468246.9768572132,0.46824697685721306
2024-10-28,0.0,0.1378374949040318,471.4575732560047,0.0,0.0,0.0,0.0,0.0,471.4575732560047,1012609.0335565824,139575.49250263206,873033.5410539503,12609.033556582406,0.0126090335565824,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.00046580384370953354,1000000.0,1257824.4648300582,1278192.4043815697,0.2781924043815698,0.001956314041481999,810933.6611849732,-0.18906633881502677,467258.7431965965,0.46725874319659655
2024-10-29,0.0,0.1378374949040318,-1289.04670359842,0.0,0.0,0.0,0.0,0.0,-1289.04670359842,1011319.986852984,139397.81353419373,871922.1733187903,11319.986852983944,0.0113199868529838,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0012729954611119254,1000000.0,1257824.4648300582,1276565.2712523644,0.2765652712523643,-0.00996680255085558,802851.2455021002,-0.19714875449789981,473714.0257502642,0.4737140257502641
2024-10-30,0.0,0.1378374949040318,286.88216283566624,0.0,0.0,0.0,0.0,0.0,286.88216283566624,1011606.8690158196,139437.35665285165,872169.512362968,11606.869015819626,0.0116068690158195,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.00028367101072368506,1000000.0,1257824.4648300582,1276927.3958131154,0.2769273958131153,-0.008968952645458939,795650.5106998441,-0.20434948930015595,481276.8851132713,0.48127688511327127
2024-10-31,0.0,0.1378374949040318,2899.346679534499,0.0,0.0,0.0,0.0,0.0,2899.346679534499,1014506.2156953542,139836.99533601702,874669.2203593372,14506.215695354156,0.0145062156953541,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.002866080459057452,1000000.0,1257824.4648300582,1280587.1724698904,0.2805871724698905,0.0004087981591227585,795975.7711639233,-0.20402422883607674,484611.4013059671,0.48461140130596725
2024-11-01,0.0,0.1378374949040318,-6150.274602470018,0.0,0.0,0.0,0.0,0.0,-6150.274602470018,1008355.941092884,138989.25689184066,869366.6842010433,8355.941092884052,0.0083559410928839,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.006062333091034433,1000000.0,1257824.4648300582,1272823.826478272,0.2728238264782721,-0.00026214071302277375,795767.1135077216,-0.20423288649227844,477056.7129705504,0.4770567129705505
2024-11-04,0.0,0.1378374949040318,8001.330590114246,0.0,0.0,0.0,0.0,0.0,8001.330590114246,1016357.2716829984,140092.140256281,876265.1314267174,16357.271682998398,0.0163572716829984,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.00793502598045115,1000000.0,1257824.4648300582,1282923.7166099143,0.28292371660991433,0.014071907085310587,806965.0743905479,-0.193034925609452,475958.6422193664,0.47595864221936635
2024-11-05,0.0,0.1378374949040318,11512.29557715908,0.0,0.0,0.0,0.0,0.0,11512.29557715908,1027869.5672601574,141678.96623923138,886190.601020926,27869.567260157437,0.0278695672601574,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.011327016491057051,1000000.0,1257824.4648300582,1297455.414704723,0.29745541470472303,0.025301919508411208,827382.8397488768,-0.17261716025112328,470072.5749558463,0.4700725749558463
2024-11-06,0.0,0.1378374949040318,1976.6425358868603,0.0,0.0,0.0,0.0,0.0,1976.6425358868603,1029846.2097960444,141951.42169469877,887894.7881013455,29846.20979604428,0.0298462097960443,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0019230480197558464,1000000.0,1257824.4648300582,1299950.4837706925,0.29995048377069256,-0.005016602506570544,823232.1889210991,-0.17676781107890094,476718.2948495934,0.4767182948495935
2024-11-07,0.0,0.1378374949040318,12883.156818061154,0.0,0.0,0.0,0.0,0.0,12883.156818061154,1042729.3666141054,143727.20375695612,899002.1628571493,42729.36661410541,0.0427293666141053,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.012509787088125002,1000000.0,1257824.4648300582,1316212.587547769,0.31621258754776904,0.03017185682904766,848070.63266229,-0.15192936733771,468141.95488547906,0.46814195488547905
2024-11-08,0.0,0.1378374949040318,-2695.631750171198,0.0,0.0,0.0,0.0,0.0,-2695.631750171198,1040033.7348639342,143355.64462932874,896678.0902346055,40033.73486393422,0.0400337348639341,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.002585169111448682,1000000.0,1257824.4648300582,1312809.9554223407,0.3128099554223407,-0.010046554261041507,839550.4450340525,-0.16044955496594748,473259.5103882882,0.4732595103882882
2024-11-11,0.0,0.1378374949040318,-697.5419871173169,0.0,0.0,0.0,0.0,0.0,-697.5419871173169,1039336.192876817,143259.49718923413,896076.6956875828,39336.19287681696,0.039336192876817,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0006706916936771723,1000000.0,1257824.4648300582,1311929.4646898622,0.31192946468986227,0.0065983601564307826,845090.1012398789,-0.15490989876012107,466839.3634499833,0.46683936344998334
2024-11-12,-77070.44374711518,0.2140234692128762,-36.55602049296658,190713.92158820343,114527.94727935908,516.8347275040313,367.63471076674256,884.4694382707739,-921.0254587637404,1038415.1674180533,222245.2166140814,816169.9508039717,38415.16741805314,0.038415167418053,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0008861670218703877,1000000.0,1257824.4648300582,1310766.876063234,0.31076687606323383,-0.010987308557222963,835804.8355389016,-0.1641951644610984,474962.0405243323,0.4749620405243322
2024-11-13,0.0,0.2140234692128762,-8117.806773945011,0.0,0.0,0.0,0.0,0.0,-8117.806773945011,1030297.3606441082,220507.81544592197,809789.5451981862,30297.36064410815,0.0302973606441081,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.007817496343133556,1000000.0,1257824.4648300582,1300519.9608029092,0.3005199608029092,0.006155555664335122,840949.6787285819,-0.15905032127141816,459570.28207432735,0.4595702820743274
2024-11-14,0.0,0.2140234692128762,-7569.391353263433,0.0,0.0,0.0,0.0,0.0,-7569.391353263433,1022727.9692908447,218887.78804866652,803840.1812421782,22727.969290844747,0.0227279692908446,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.007346802624565885,1000000.0,1257824.4648300582,1290965.2973415821,0.29096529734158216,-0.017336878388864774,826370.2364173096,-0.17362976358269033,464595.0609242725,0.4645950609242725
2024-11-15,0.0,0.2140234692128762,-16863.052714171856,0.0,0.0,0.0,0.0,0.0,-16863.052714171856,1005864.9165766728,215278.69900525987,790586.217571413,5864.916576672928,0.0058649165766728,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.016488306979484224,1000000.0,1257824.4648300582,1269679.465219153,0.269679465219153,-0.01752392551774673,811888.9859442499,-0.18811101405575015,457790.4792749032,0.45779047927490313
2024-11-18,0.0,0.2140234692128762,-8289.93674056078,0.0,0.0,0.0,0.0,0.0,-8289.93674056078,997574.979836112,213504.45798448977,784070.5218516224,-2425.020163887879,-0.0024250201638879,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.008241600441513008,1000000.0,1257824.4648300582,1259215.2743780226,0.2592152743780227,-0.004648725191051195,808114.7371629538,-0.1918852628370462,451100.5372150688,0.45110053721506893
2024-11-19,0.0,0.2140234692128762,12692.109286262585,0.0,0.0,0.0,0.0,0.0,12692.109286262585,1010267.0891223748,216220.86724556464,794046.2218768101,10267.089122374658,0.0102670891223746,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.012722962727421239,1000000.0,1257824.4648300582,1275236.223379734,0.2752362233797341,0.0067107468142304505,813537.7905609028,-0.1864622094390972,461698.4328188312,0.4616984328188313
2024-11-20,0.0,0.2140234692128762,3828.1244935316663,0.0,0.0,0.0,0.0,0.0,3828.1244935316663,1014095.2136159064,217040.1757302491,797055.0378856573,14095.213615906308,0.0140952136159062,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0037892202317084678,1000000.0,1257824.4648300582,1280068.374277572,0.2800683742775718,0.0022329005831189797,815354.3395678356,-0.18464566043216446,464714.03470973636,0.46471403470973627
2024-11-21,0.0,0.2140234692128762,796.5391116216592,0.0,0.0,0.0,0.0,0.0,796.5391116216592,1014891.752727528,217210.6537942821,797681.0989332459,14891.752727527986,0.014891752727528,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0007854677755370076,1000000.0,1257824.4648300582,1281073.826736051,0.28107382673605086,0.0008856507023737858,816076.4587113572,-0.18392354128864274,464997.3680246937,0.4649973680246936
2024-11-22,0.0,0.2140234692128762,-11200.057842677768,0.0,0.0,0.0,0.0,0.0,-11200.057842677768,1003691.6948848504,214813.57855940727,788878.1163254429,3691.6948848502943,0.0036916948848502,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.011035716678726937,1000000.0,1257824.4648300582,1266936.2589396592,0.26693625893965933,-0.030982879201865043,790792.0603716174,-0.20920793962838258,476144.1985680418,0.4761441985680419
2024-11-25,0.0,0.2140234692128762,-437.1656835658175,0.0,0.0,0.0,0.0,0.0,-437.1656835658175,1003254.5292012844,214720.0148431897,788534.5143580947,3254.5292012844,0.0032545292012844,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0004355577372952002,1000000.0,1257824.4648300582,1266384.4350494181,0.2663844350494182,-0.004555449207129247,787189.6473071934,-0.21281035269280668,479194.78774222475,0.4791947877422249
2024-11-26,0.0,0.2140234692128762,-1444.6485547549423,0.0,0.0,0.0,0.0,0.0,-1444.6485547549423,1001809.8806465296,214410.82614770773,787399.0544988217,1809.880646529491,0.0018098806465294,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0014399621558697229,1000000.0,1257824.4648300582,1264560.8893881645,0.2645608893881646,-0.0020555652284640624,785571.5276399818,-0.21442847236001816,478989.3617481827,0.47898936174818274
2024-11-27,0.0,0.2140234692128762,5644.808949486013,0.0,0.0,0.0,0.0,0.0,5644.808949486013,1007454.6895960156,215618.9477421206,791835.7418538949,7454.689596015494,0.0074546895960154,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.005634610976129606,1000000.0,1257824.4648300582,1271686.1980554955,0.27168619805549543,0.017410642209479743,799248.832437676,-0.20075116756232392,472437.3656178195,0.47243736561781935
2024-11-28,0.0,0.2140234692128762,784.4752721091271,0.0,0.0,0.0,0.0,0.0,784.4752721091271,1008239.1648681246,215786.84386136915,792452.3210067556,8239.164868124644,0.0082391648681245,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0007786705250472092,1000000.0,1257824.4648300582,1272676.4226150308,0.2726764226150309,-0.008827654695114373,792193.3397294428,-0.20780666027055716,480483.08288558794,0.48048308288558805
2024-11-29,0.0,0.2140234692128762,5719.152840239764,0.0,0.0,0.0,0.0,0.0,5719.152840239764,1013958.3177083645,217010.8767931959,796947.4409151685,13958.31770836434,0.0139583177083644,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.005672416862508856,1000000.0,1257824.4648300582,1279895.5738151895,0.2798955738151896,0.011369769273475994,801200.3952221511,-0.19879960477784897,478695.17859303846,0.47869517859303856
2024-12-02,0.0,0.2140234692128762,3783.491902421355,0.0,0.0,0.0,0.0,0.0,3783.491902421355,1017741.8096107858,217820.63285589096,799921.1767548949,17741.8096107858,0.0177418096107857,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.003731407727856517,1000000.0,1257824.4648300582,1284671.3860501728,0.28467138605017284,0.007927834998902039,807552.1797565274,-0.19244782024347262,477119.20629364543,0.47711920629364546
2024-12-03,0.0,0.2140234692128762,-5964.122014698752,0.0,0.0,0.0,0.0,0.0,-5964.122014698752,1011777.687596087,216544.17077149625,795233.5168245907,11777.687596086997,0.0117776875960871,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.005860152308157285,1000000.0,1257824.4648300582,1277143.0160619873,0.2771430160619872,0.0010791284897520015,808423.6323206639,-0.19157636767933606,468719.38374132337,0.46871938374132327
2024-12-04,0.0,0.2140234692128762,3001.420857370116,0.0,0.0,0.0,0.0,0.0,3001.420857370116,1014779.1084534572,217186.5452759585,797592.5631774986,14779.108453457127,0.0147791084534572,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.002966482552606342,1000000.0,1257824.4648300582,1280931.638536318,0.28093163853631786,-0.0053974174382384055,804060.2325100924,-0.1959397674899076,476871.40602622554,0.47687140602622546
2024-12-05,0.0,0.2140234692128762,1196.3900588119193,0.0,0.0,0.0,0.0,0.0,1196.3900588119193,1015975.498512269,217442.6008268772,798532.8976853918,15975.498512268998,0.015975498512269,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.001178965992544967,1000000.0,1257824.4648300582,1282441.8133769273,0.2824418133769273,-0.0022821175608563893,802225.2725334949,-0.19777472746650515,480216.5408434324,0.48021654084343246
2024-12-06,0.0,0.2140234692128762,-1321.7217949633314,0.0,0.0,0.0,0.0,0.0,-1321.7217949633314,1014653.7767173056,217159.72134298488,797494.0553743208,14653.776717305647,0.0146537767173056,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0013009386514721832,1000000.0,1257824.4648300582,1280773.4352536413,0.2807734352536413,0.013145178358777931,812770.6668248669,-0.18722933317513313,468002.76842877443,0.4680027684287744
2024-12-09,0.0,0.2140234692128762,-5868.5362432330685,0.0,0.0,0.0,0.0,0.0,-5868.5362432330685,1008785.2404740726,215903.71685700663,792881.523617066,8785.240474072634,0.0087852404740726,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.005783781993321302,1000000.0,1257824.4648300582,1273365.7209212969,0.27336572092129696,-0.0016536039505277156,811426.6660393322,-0.1885733339606679,461939.0548819647,0.46193905488196485
2024-12-10,-9725.191811315744,0.2226217445276735,-3926.121438574805,195019.75680388015,186421.4814890829,528.5035409385152,598.412955579956,1126.9164965184714,-5053.037935093276,1003732.2025389794,223452.6139678317,780279.5885711476,3732.202538979356,0.0037322025389794,4,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.005009032381083078,1000000.0,1257824.4648300582,1266987.390792241,0.2669873907922411,0.007328750028361863,817373.4092410816,-0.1826265907589184,449613.9815511595,0.4496139815511595
