date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2023-06-05,3831.66076,0.22522592293067492,5399.0,0.0,3844.0,0.0,12.339239999999998,12.339239999999998,5386.660759999882,1136534.35923,255977.0,880557.3592300001,136534.35923000006,0.13653435923000012,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-06,-814.2005199999999,0.22398461316365567,-2865.0,811.9999999999999,0.0,2.2005199999999996,0.0,2.2005199999999996,-2867.200519999955,1133667.15871,253924.0,879743.1587100001,133667.1587100001,0.13366715871,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-07,1602.83832,0.22347001767758543,1318.0,0.0,1608.0,0.0,5.16168,5.16168,1312.8383200000972,1134979.9970300002,253634.0,881345.9970300001,134979.9970300002,0.1349799970300003,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-08,1755.75137,0.22157449081876143,-489.0,2289.0,4064.0,6.203189999999999,13.04544,19.24863,-508.24863000027835,1134471.7484,251370.0,883101.7484,134471.74839999992,0.13447174839999998,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-09,53218.39529000006,0.17471177660637321,1414.0,198217.0,252784.0,537.16807,811.4366399999999,1348.6047099999998,65.39528999989852,1134537.1436899998,198217.0,936320.1436899999,134537.14368999982,0.1345371436899998,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-12,0.0,0.1799025452430489,7181.0,0.0,0.0,0.0,0.0,0.0,7181.0,1141718.1436899998,205398.0,936320.1436899999,141718.14368999982,0.1417181436899999,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-13,0.0,0.18283062336660627,4091.0,0.0,0.0,0.0,0.0,0.0,4091.0,1145809.1436899998,209489.0,936320.1436899999,145809.14368999982,0.14580914368999975,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-14,5213.2117,0.18710160182929106,12450.0,0.0,5230.0,0.0,16.7883,16.7883,12433.211700000102,1158242.35539,216709.0,941533.3553899999,158242.35538999992,0.15824235538999987,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-15,0.0,0.1830409375819045,-5757.0,0.0,0.0,0.0,0.0,0.0,-5757.0,1152485.35539,210952.0,941533.3553899999,152485.35538999992,0.15248535538999985,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-16,10879.96285,0.1860566169932214,17672.0,0.0,10915.0,0.0,35.03715,35.03715,17636.96285000001,1170122.31824,217709.0,952413.3182399999,170122.31823999994,0.17012231824000001,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-19,13124.73393,0.18373691782946394,12796.0,0.0,13167.0,0.0,42.26607,42.26607,12753.733930000104,1182876.05217,217338.0,965538.05217,182876.05217000004,0.18287605217000014,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-20,0.0,0.18355469961741577,-264.0,0.0,0.0,0.0,0.0,0.0,-264.0,1182612.05217,217074.0,965538.05217,182612.05217000004,0.1826120521700001,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-21,-5701.40906,0.17914456089592978,-13284.0,5686.0,0.0,15.409059999999998,0.0,15.409059999999998,-13299.409059999976,1169312.64311,209476.0,959836.6431100001,169312.64311000006,0.16931264311000005,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-26,-2056.55821,0.17601532125258884,-6931.0,2051.0,0.0,5.55821,0.0,5.55821,-6936.55820999993,1162376.0849000001,204596.0,957780.0849,162376.08490000013,0.16237608490000022,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-27,0.0,0.17278010185516815,-4546.0,0.0,0.0,0.0,0.0,0.0,-4546.0,1157830.0849000001,200050.0,957780.0849,157830.08490000013,0.15783008490000006,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-28,-7613.5770299999995,0.17340923177960282,-8309.0,7593.0,0.0,20.577029999999997,0.0,20.577029999999997,-8329.577030000044,1149500.50787,199334.0,950166.5078700001,149500.5078700001,0.14950050787000002,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-29,0.0,0.17749848283985709,5715.0,0.0,0.0,0.0,0.0,0.0,5715.0,1155215.50787,205049.0,950166.5078700001,155215.5078700001,0.15521550787000016,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-06-30,2156.05677,0.18175615247285207,8653.0,0.0,2163.0,0.0,6.94323,6.94323,8646.056769999908,1163861.56464,211539.0,952322.5646400001,163861.56464,0.1638615646399999,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-03,0.0,0.18007242395540357,-2390.0,0.0,0.0,0.0,0.0,0.0,-2390.0,1161471.56464,209149.0,952322.5646400001,161471.56464,0.16147156464,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-04,0.0,0.18009218975887709,28.0,0.0,0.0,0.0,0.0,0.0,28.0,1161499.56464,209177.0,952322.5646400001,161499.56464,0.16149956463999993,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-05,3729.98818,0.1770310362333683,224.0,0.0,3742.0,0.0,12.011819999999998,12.011819999999998,211.98818000010215,1161711.55282,205659.0,956052.5528200001,161711.5528200001,0.16171155282000016,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-06,4109.76517,0.1817195836124303,11692.0,0.0,4123.0,0.0,13.234829999999999,13.234829999999999,11678.765170000028,1173390.3179900001,213228.0,960162.3179900001,173390.31799000013,0.17339031799000004,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-07,-4829.05136,0.18567956324361434,-211.0,4816.0,0.0,13.051359999999999,0.0,13.051359999999999,-224.05136000015773,1173166.26663,217833.0,955333.2666300001,173166.26662999997,0.17316626663,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-10,0.0,0.1823340899891486,-4800.0,0.0,0.0,0.0,0.0,0.0,-4800.0,1168366.26663,213033.0,955333.2666300001,168366.26662999997,0.16836626662999987,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-11,-1349.6726400000043,0.18677340161358197,5332.0,104060.0,103324.0,282.0026,331.67004,613.67264,4718.327359999996,1173084.59399,219101.0,953983.59399,173084.59398999996,0.17308459398999987,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-12,-8492.9537,0.18414302807773333,-14169.0,8470.0,0.0,22.953699999999998,0.0,22.953699999999998,-14191.953699999955,1158892.64029,213402.0,945490.64029,158892.64029,0.15889264028999994,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-13,2260.71972,0.1905188372620678,11928.0,0.0,2268.0,0.0,7.280279999999999,7.280279999999999,11920.719719999935,1170813.36001,223062.0,947751.3600100001,170813.36000999995,0.17081336000999991,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-14,3428.55735,0.19263511544097967,7336.0,1583.0,5032.0,4.28993,16.15272,20.44265,7315.557350000134,1178128.91736,226949.0,951179.9173600001,178128.91736000008,0.17812891736000003,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-07-17,-3002.11374,0.19307711638485048,-3067.0,2994.0,0.0,8.11374,0.0,8.11374,-3075.1137399999425,1175053.8036200001,226876.0,948177.8036200001,175053.80362000014,0.17505380362000023,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
