symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days,liquidity_rank,size_rank,universe_score,universe_rank
SZ.300059,东方财富,证券,21.46,,5681244374.348197,8860037.209344262,1.6804,296508025658.0,,22.6215,3.1451,3.99,44.34,37.67,8.142131323121822,78.265042302,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9879219572623104,0.9845153298234748,0.9865593062867761,27
SH.601318,中国平安,保险,62.67,,4383215401.737705,2382756.092622951,0.5405,963869783393.9999,,7.2589,0.9465,2.5,-6.1838222344,-7.4,5.237950603468947,89.8779437919,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9792505419634562,0.9959739857541035,0.9859399194797152,28
SZ.002281,光迅科技,通信设备,236.4,,9822872058.569344,1637003.262295082,6.5843,177920403861.00003,,171.7269,17.2064,2.35,24.7949049751,59.76,0.815117718140036,43.1308365975,2026-03-31,2026-04-23,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9953545989470425,0.9708888200681326,0.9855682873954785,29
SZ.000988,华工科技,专用机械,171.94,,13106884543.97623,2738046.236557377,7.6026,159231408681.0,,93.7012,13.6241,5.61,27.1313315504,55.76,-1.7653739804698232,48.7516834682,2026-03-31,2026-04-27,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9972127593682255,0.9643852585939919,0.984081759058532,30
SZ.000725,京东方Ａ,元器件,6.15,,5762614019.9039345,70603321.08557378,9.1438,227822617594.0,,38.2883,1.674,1.26,0.7951342048,5.78,7.204401457026915,51.9160558958,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9882316506658408,0.9777020749458036,0.984019820377826,31
SH.688525,佰维存储,半导体,341.31,,10716239895.803278,1072023.9773770492,12.3476,160950415359.0,,40.752,18.9084,41.98,341.5280090886,1567.8538876601,-0.9335688181779949,64.9551273234,2026-03-31,2026-04-16,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9959739857541035,0.9653143388045835,0.9837101269742954,32
SZ.002050,三花智控,家用电器,54.44,,5775547589.908197,3847963.980327869,4.5342,197818735084.0,,48.4008,6.0629,2.88,1.3573975694,2.68,1.1920700042004142,33.2777861088,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9885413440693713,0.9746051409104987,0.9829668628058224,33
SH.600522,中天科技,通信设备,46.06,,8511479003.278688,8598371.940983607,10.383,157200460971.0,,49.2231,4.1355,2.43,34.7112176697,46.42,-2.120464299395746,38.5161046055,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9941158253329204,0.9640755651904614,0.9820997212759368,34
SZ.001309,德明利,半导体,735.04,,8173210809.38,373164.28442622954,11.8803,154447866249.0,,37.6371,23.6425,67.45,502.0833547633,4943.39,-0.07195873579895255,63.9726182228,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9938061319293899,0.9628367915763394,0.9814183957881697,35
SH.600111,北方稀土,小金属,57.85,,5633984360.983606,2876685.4545901637,2.8762,179524169714.0,,65.5584,7.0172,3.65,27.6935884581,113.12,-0.29613925645235506,36.8312821754,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9873025704552493,0.9711985134716631,0.9808609476618149,36
