date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2020-11-16,0.0,0.3082481152492088,-3198.0908601453903,0.0,0.0,0.0,1084020.2755057262,334147.20681656816,749873.0686891581,84020.27550572623,0.08402027550572622,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-17,0.0,0.3082481152492088,-11704.174587532201,0.0,0.0,0.0,1072316.100918194,330539.4170594137,741776.6838587804,72316.10091819405,0.07231610091819407,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-18,0.0,0.3082481152492088,-5172.575403447259,0.0,0.0,0.0,1067143.5255147468,328944.98044031666,738198.5450744301,67143.52551474678,0.06714352551474678,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-19,0.0,0.3082481152492088,970.8473562448999,0.0,0.0,0.0,1068114.3728709917,329244.24230807385,738870.1305629178,68114.3728709917,0.06811437287099165,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-20,99021.01959560325,0.20856378095837508,2763.924691818527,162955.70340718192,262640.0376980157,203.69462925897741,1070878.2975628101,223346.42668596754,847531.8708768426,70878.29756281013,0.07087829756281017,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-23,0.0,0.20856378095837508,14019.628407635302,0.0,0.0,0.0,1084897.9259704454,226270.4133942954,858627.51257615,84897.92597044539,0.08489792597044543,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-24,0.0,0.20856378095837508,1312.2494489420824,0.0,0.0,0.0,1086210.1754193874,226544.10110092728,859666.0743184602,86210.17541938741,0.08621017541938736,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-25,0.0,0.20856378095837508,-5989.6554697325955,0.0,0.0,0.0,1080220.519949655,225294.87590952188,854925.6440401331,80220.51994965505,0.08022051994965507,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-26,0.0,0.20856378095837508,-5094.239029659476,0.0,0.0,0.0,1075126.2809199954,224232.40215639034,850893.878763605,75126.28091999539,0.07512628091999529,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-11-27,0.0,0.20856378095837508,-1019.8646874531078,0.0,0.0,0.0,1074106.4162325424,224019.6953211092,850086.7209114332,74106.41623254237,0.07410641623254244,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
