代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02318,中国平安,60.05,1.35,0.8,60.05,60.05,52826036.0,3166787679.4,59.7,59.25,60.55,59.3
02768,国恩科技,57.85,-1.95,-1.15,57.85,57.85,1919222.0,112940310.4,60.8,59.0,60.85,56.5
01880,中国中免,55.95,7.39,3.85,55.95,55.95,11527380.0,649727237.0,52.1,52.1,58.45,52.1
03606,福耀玻璃,55.6,1.18,0.65,55.6,55.6,3186539.0,177950523.7,55.75,54.95,57.15,54.7
00470,先导智能,52.7,1.05,0.55,52.7,52.7,2147521.0,113605434.8,53.45,52.15,56.1,50.95
00168,青岛啤酒股份,49.74,0.89,0.44,49.74,49.74,5008696.0,250059857.54,50.5,49.3,50.5,48.92
02315,百奥赛图-B,49.42,-1.65,-0.83,49.42,49.42,1567500.0,77353515.0,50.25,50.25,51.3,48.24
09696,天齐锂业,49.08,-2.13,-1.07,49.08,49.08,4301410.0,213133832.0,51.0,50.15,51.05,48.94
01336,新华保险,48.46,1.98,0.94,48.46,48.46,9588530.0,464167303.86,47.7,47.52,49.0,47.48
03968,招商银行,47.1,2.57,1.18,47.1,47.1,23261517.0,1089955047.3,45.92,45.92,47.1,45.64
01088,中国神华,45.08,2.92,1.28,45.08,45.08,21256575.0,954679942.1,43.82,43.8,45.12,43.6
02338,潍柴动力,41.64,-1.19,-0.5,41.64,41.64,24608353.0,1039030324.04,42.46,42.14,43.2,41.6
03898,时代电气,40.5,-5.81,-2.5,40.5,40.5,9516152.0,393716579.18,43.3,43.0,44.04,40.3
02714,牧原股份,35.3,2.14,0.74,35.3,35.3,1808800.0,64125246.0,34.5,34.56,36.04,34.5
00358,江西铜业股份,35.2,1.27,0.44,35.2,35.2,11195741.0,394729519.3,35.68,34.76,35.86,34.84
02579,中伟新材,33.16,-4.16,-1.44,33.16,33.16,1234400.0,41851860.6,35.8,34.6,35.8,33.12
02899,紫金矿业,32.78,-0.3,-0.1,32.78,32.78,59202853.0,1947852880.82,33.72,32.88,33.78,32.6
03288,海天味业,32.62,3.03,0.96,32.62,32.62,3951705.0,127039411.66,31.7,31.66,32.62,31.2
01072,东方电气,32.12,-6.08,-2.08,32.12,32.12,18320013.0,596557953.68,34.3,34.2,34.52,31.84
01385,上海复旦,31.54,-11.15,-3.96,31.54,31.54,9774801.0,321439455.78,35.9,35.5,35.96,31.36
02601,中国太保,31.42,0.71,0.22,31.42,31.42,20791891.0,653532105.74,31.5,31.2,31.78,31.02
02050,三花智控,31.42,-4.56,-1.5,31.42,31.42,18803368.0,599167929.38,32.9,32.92,33.4,31.1
06936,顺丰控股,31.28,1.23,0.38,31.28,31.28,1044004.0,32682486.0,31.26,30.9,31.66,30.8
02865,钧达股份,31.28,-6.9,-2.32,31.28,31.28,7656100.0,244373339.0,34.78,33.6,34.78,31.0
03347,泰格医药,30.94,2.72,0.82,30.94,30.94,1583338.0,48569649.3,30.46,30.12,31.5,29.64
