snapshot_at,h_code,name,h_price,akshare_ah_premium_or_ratio,match_name,a_symbol,a_code,a_name,a_trade_date,a_close,a_h_price_ratio_without_fx,note,source_columns
,02628,中国人寿,28.88,,中国人寿,SH.601628,601628.SH,中国人寿,2026-05-29,33.83,1.171398891966759,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01187,可孚医疗,28.7,,可孚医疗,SZ.301087,301087.SZ,可孚医疗,2026-05-29,47.09,1.6407665505226483,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00763,中兴通讯,26.78,,中兴通讯,SZ.000063,000063.SZ,中兴通讯,2026-05-29,36.72,1.3711725168035847,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00883,中国海洋石油,26.4,,中国海洋石油,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01513,丽珠医药,26.28,,丽珠医药,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06030,中信证券,26.04,,中信证券,SH.600030,600030.SH,中信证券,2026-05-29,26.05,1.000384024577573,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06185,康希诺生物,25.82,,康希诺生物,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06613,蓝思科技,24.08,,蓝思科技,SZ.300433,300433.SZ,蓝思科技,2026-05-29,40.5,1.6818936877076414,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01787,山东黄金,23.84,,山东黄金,SH.600547,600547.SH,山东黄金,2026-05-29,28.87,1.2109899328859062,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03268,美格智能,23.84,,美格智能,SZ.002881,002881.SZ,美格智能,2026-05-29,45.44,1.9060402684563758,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,09611,龙旗科技,23.3,,龙旗科技,SH.603341,603341.SH,龙旗科技,2026-05-29,34.46,1.478969957081545,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00921,海信家电,22.96,,海信家电,SZ.000921,000921.SZ,海信家电,2026-05-29,24.66,1.07404181184669,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02493,迈威生物-B,22.78,,迈威生物B,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01877,君实生物,21.06,,君实生物,SH.688180,688180.SH,君实生物,2026-05-29,34.24,1.6258309591642928,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06690,海尔智家,19.7,,海尔智家,SH.600690,600690.SH,海尔智家,2026-05-29,20.88,1.0598984771573603,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03908,中金公司,19.62,,中金公司,SH.601995,601995.SH,中金公司,2026-05-29,33.79,1.722222222222222,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06031,三一重工,19.4,,三一重工,SH.600031,600031.SH,三一重工,2026-05-29,17.94,0.9247422680412373,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
