strategy_id,walk_forward_preset,fold,date,benchmark_weight_date,symbol,benchmark_rank,benchmark_weight,failure_reason
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-11,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-11,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-12,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-12,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-13,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-13,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-16,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-16,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-17,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-17,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-18,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-18,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-19,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-19,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-20,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-20,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-23,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-23,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-24,2021-08-02,SH.600837,49,0.005428,missing_industry
