strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_return_bucket,benchmark_trend_bucket,universe_as_of_date,date,symbol,name,industry,target_weight,live_weight,selected,rank,score,low_vol_rank_component,ret,position_ret,held_days
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SH.603288,海天味业,食品,0.05,0.05,1.0,,0.0,0.0,-0.006764536557282708,-0.0003382268278641354,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SZ.300347,泰格医药,医疗保健,0.05,0.05,1.0,,0.0,0.0,-0.004661365505895243,-0.00023306827529476215,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SZ.300450,先导智能,专用机械,0.05,0.05,1.0,5.0,0.3857142857142857,0.1428571428571429,-0.03531283138918351,-0.0017656415694591754,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SZ.300750,宁德时代,电气设备,0.05,0.05,1.0,,0.0,0.0,-0.001974890675694674,-9.87445337847337e-05,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600036,招商银行,银行,0.05,0.0,1.0,7.0,0.33214285714285713,0.7142857142857143,-0.022577283779089963,-0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600111,北方稀土,小金属,0.05,0.0,1.0,4.0,0.45000000000000007,0.0,0.03702010968921399,0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600436,片仔癀,中成药,0.05,0.0,1.0,1.0,0.8571428571428571,0.5714285714285714,0.04665763559631109,0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600570,恒生电子,软件服务,0.05,0.05,1.0,,0.0,0.0,-0.015922852657546338,-0.000796142632877317,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600763,通策医疗,医疗保健,0.05,0.0,1.0,3.0,0.7607142857142858,0.4285714285714286,0.017587249244297887,0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.600809,山西汾酒,白酒,0.05,0.0,1.0,2.0,0.7928571428571427,0.8571428571428572,0.038085808580858194,0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.601628,中国人寿,保险,0.05,0.05,1.0,,0.0,0.0,-0.01016661959898335,-0.0005083309799491676,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.601688,华泰证券,证券,0.05,0.05,1.0,,0.0,0.0,-0.004819277108433773,-0.00024096385542168863,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.603259,XD药明康,化学制药,0.05,0.05,1.0,,0.0,0.0,-0.008980844654124187,-0.00044904223270620937,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SH.603288,海天味业,食品,0.05,0.05,1.0,,0.0,0.0,-0.00883929865236921,-0.0004419649326184605,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SZ.002271,东方雨虹,其他建材,0.05,0.0,1.0,5.0,0.4178571428571428,0.2857142857142857,-0.026192075218267385,-0.0,0
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SZ.300347,泰格医药,医疗保健,0.05,0.05,1.0,,0.0,0.0,-0.01840220385674929,-0.0009201101928374644,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SZ.300450,先导智能,专用机械,0.05,0.05,1.0,6.0,0.3392857142857143,0.1428571428571429,-0.01641320032513305,-0.0008206600162566525,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-03,SZ.300750,宁德时代,电气设备,0.05,0.05,1.0,,0.0,0.0,-0.022897526501766796,-0.00114487632508834,4
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600036,招商银行,银行,0.05,0.05,1.0,13.0,0.36,0.8,0.022210376687988642,0.0011105188343994322,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600111,北方稀土,小金属,0.05,0.05,1.0,,0.0,0.0,-0.008373732921992172,-0.00041868664609960864,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600436,片仔癀,中成药,0.05,0.05,1.0,,0.0,0.0,0.002065858575802215,0.00010329292879011077,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600570,恒生电子,软件服务,0.05,0.05,1.0,,0.0,0.0,0.0013673655423880327,6.836827711940164e-05,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600763,通策医疗,医疗保健,0.05,0.05,1.0,,0.0,0.0,0.0008101539292466597,4.050769646233299e-05,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.600809,山西汾酒,白酒,0.05,0.05,1.0,,0.0,0.0,0.015663084716305287,0.0007831542358152643,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.601628,中国人寿,保险,0.05,0.05,1.0,,0.0,0.0,0.020827389443652145,0.0010413694721826074,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.601688,华泰证券,证券,0.05,0.05,1.0,,0.0,0.0,0.005447941888619967,0.00027239709443099835,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.603259,XD药明康,化学制药,0.05,0.05,1.0,,0.0,0.0,0.02259822196730732,0.001129911098365366,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SH.603288,海天味业,食品,0.05,0.05,1.0,,0.0,0.0,0.004532163742689832,0.0002266081871344916,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SZ.002271,东方雨虹,其他建材,0.05,0.05,1.0,,0.0,0.0,-0.008620689655172376,-0.0004310344827586188,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SZ.300347,泰格医药,医疗保健,0.05,0.05,1.0,1.0,0.805,0.33333333333333337,0.04512797485406361,0.002256398742703181,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SZ.300450,先导智能,专用机械,0.05,0.05,1.0,,0.0,0.0,0.03498385360602807,0.0017491926803014036,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-04,SZ.300750,宁德时代,电气设备,0.05,0.05,1.0,4.0,0.6333333333333333,0.4666666666666667,0.042022276869665864,0.002101113843483293,5
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600036,招商银行,银行,0.05,0.05,1.0,,0.0,0.0,-0.009212584738397367,-0.0004606292369198684,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600111,北方稀土,小金属,0.05,0.05,1.0,,0.0,0.0,-0.003555555555555423,-0.00017777777777777117,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600436,片仔癀,中成药,0.05,0.05,1.0,2.0,0.8104166666666668,0.5,0.0391952309985093,0.001959761549925465,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600570,恒生电子,软件服务,0.05,0.05,1.0,,0.0,0.0,0.009103322712790352,0.0004551661356395176,6
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600763,通策医疗,医疗保健,0.05,0.05,1.0,,0.0,0.0,-0.010793308148947633,-0.0005396654074473817,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-07,SH.600809,山西汾酒,白酒,0.05,0.05,1.0,1.0,0.9437500000000001,0.75,0.04108931552587625,0.0020544657762938123,2
